Date	Open	High	Low	Close	Adj Close	Volume
18/08/08	115.019997	117.760002	113.199997	114.75	106.299385	1336990
19/08/08	114.800003	115.879997	111.809998	113.779999	105.400818	992960
20/08/08	114.400002	116.800003	114.400002	116.029999	107.485115	1098145
21/08/08	116	116.199997	112.400002	112.870003	104.557823	991000
22/08/08	113	115.900002	112	115.18	106.697708	1285000
25/08/08	117.959999	119.260002	115.800003	116.440002	107.864922	2068825
26/08/08	115.050003	115.599998	113.199997	113.730003	105.354485	1026585
27/08/08	114.800003	115.300003	111.419998	112.160004	103.900116	939630
28/08/08	110.330002	114.980003	110.330002	111.510002	103.298012	1550995
29/08/08	113.400002	116.199997	113.400002	115.449997	106.947815	1400280
01/09/08	114.980003	119	114.059998	118.209999	109.504578	2798610
02/09/08	119.019997	120.959999	117.25	118.129997	109.430489	2493960
04/09/08	117.199997	118.199997	115.599998	116.760002	108.161339	868825
05/09/08	115	116.940002	113.639999	114.150002	105.743561	962595
08/09/08	117.760002	118.800003	115.379997	116.029999	107.485115	1128340
09/09/08	116	117.160004	115	116.089996	107.540695	909095
10/09/08	115.199997	120.400002	115.010002	117.93	109.245193	2586170
11/09/08	116.599998	119.360001	115.07	115.919998	107.383217	1404905
12/09/08	116.199997	116.989998	111.610001	112.550003	104.531937	851465
15/09/08	110	111	102.019997	107.150002	99.516602	314195
16/09/08	106.050003	108.900002	103.080002	107.669998	99.99958	1102925
17/09/08	108.989998	109.160004	96.800003	98.730003	91.696457	1623750
18/09/08	95.199997	95.199997	89	90.949997	84.470711	3328495
19/09/08	99.989998	99.989998	90.400002	91.279999	84.777199	3133560
22/09/08	92.199997	95.529999	87.800003	88.769997	82.446007	3643265
23/09/08	87.800003	90.980003	84.199997	88.510002	82.204521	2062220
24/09/08	90.599998	90.599998	88.209999	89.379997	83.01255	1924885
25/09/08	89.599998	89.800003	87.599998	87.989998	81.721588	710440
26/09/08	85.900002	88.379997	85.800003	86.190002	80.049812	992275
29/09/08	87	89	81.410004	84.57	78.545227	1737485
30/09/08	80	87.199997	78.510002	86.330002	80.179848	1786865
01/10/08	86.760002	88	85.199997	86.82	80.634933	1462065
03/10/08	86.800003	87.970001	84.480003	86.370003	80.216995	1413285
06/10/08	85	86.599998	81.410004	82.43	76.557686	1173260
07/10/08	82	94.400002	81.019997	83.050003	77.133484	3239595
08/10/08	80	81.989998	76.220001	79.349998	73.697105	2804625
10/10/08	75.940002	77.599998	65.010002	69.879997	64.901733	2569640
13/10/08	70.410004	77.5	70.019997	76.019997	70.604324	1619750
14/10/08	80	82.400002	77.400002	79.739998	74.059311	1667105
15/10/08	76.400002	78.599998	74.599998	76.080002	70.660065	663360
16/10/08	70.510002	81.480003	68.410004	80.099998	74.393661	1646905
17/10/08	81.68	81.68	77.660004	80.199997	74.486534	1002060
20/10/08	80.019997	83.099998	76.059998	82	76.15831	1226585
